Company,Rank,Year,Industry,Headquarters_state,Revenue_mil,profit_mil
The First American Corporation,300,2004,Insurance: Property and Casualty (Stock),CA,6213.7,869.918
"Apple Computer, Inc.",301,2004,"Computers, Office Equipment",CA,6207,868.98
"Owens-Illinois, Inc",302,2004,"Packaging, Containers",OH,6158.2,862.148
"Interpublic Group of Companies, Inc.",303,2004,"Advertising, Marketing",NY,6113.5,855.89
Northeast Utilities,304,2004,Utilities: Gas and Electric,CT,6064.8,849.072
Agilent Technologies Inc.,305,2004,"Scientific, Photographic and Control Equipment",CA,6056,847.84
"Saks, Incorporated",306,2004,General Merchandisers,AL,6055.1,847.714
CMS Energy Corporation,307,2004,Utilities: Gas and Electric,MI,6017,842.38
"Land O'Lakes, Inc.",308,2004,Food Consumer Products,MN,5978.1,836.934
PNC Financial Services Group Inc.,309,2004,Commercial Banks,PA,5969,835.66
Southwest Airlines Co.,310,2004,Airlines,TX,5937,831.18
Fortune Brands,311,2004,"Home Equipment, Furnishings",IL,5912.5,827.75
Unisys Corporation,312,2004,Computer And Data Services,PA,5911.2,827.568
American Family Ins. Group,313,2004,Insurance: Property and Casualty (Stock),WI,5894.6,825.244
Mirant Corp.,314,2004,Energy,GA,5863,820.82
KB Home,315,2004,Homebuilders,CA,5850.6,819.084
Dynegy Inc.,316,2004,Energy,TX,5813,813.82
Eastman Chemical,317,2004,Chemicals,TN,5800,812
"Cox Communications, Inc.",318,2004,Telecommunications,GA,5758.9,806.246
KeyCorp,319,2004,Commercial Banks,OH,5730,802.2
"ITT Industries, Inc.",320,2004,Industrial and Farm Equipment,NY,5626.6,787.724
"Praxair, Inc.",321,2004,Chemicals,CT,5613,785.82
NCR Corporation,322,2004,"Computers, Office Equipment",OH,5598,783.72
Tribune Company,323,2004,"Publishing, Printing",IL,5594.8,783.272
PPL Corporation,324,2004,Utilities: Gas and Electric,PA,5587,782.18
Barnes & Noble Inc.,325,2004,Specialty Retailers,NY,5585,781.9
Allied Waste Industries,326,2004,Waste Management,AZ,5582.7,781.578
Echostar Communications Corporation,327,2004,Telecommunications,CO,5550.7,777.098
Federal-Mogul Corporation,328,2004,Motor Vehicles & Parts,MI,5546,776.44
Performance Food Group Company,329,2004,Wholesalers: Food and Grocery,VA,5519.8,772.772
State Street Corporation,330,2004,Commercial Banks,MA,5463,764.82
"AutoZone, Inc.",331,2004,Specialty Retailers,TN,5457.1,763.994
"Oxford Health Plans, Inc.",332,2004,Health Care,CT,5452.4,763.336
The Sherwin-Williams Company,333,2004,Chemicals,OH,5407.8,757.092
Baker Hughes Incorporated,334,2004,"Oil and Gas Equipment, Services",TX,5391.2,754.768
"WellChoice, Inc.",335,2004,Health Care,NY,5382.6,753.564
"Enterprise Products Partners, L.P.",336,2004,Pipelines,TX,5346.4,748.496
"Autoliv, Inc.",337,2004,Motor Vehicles & Parts,UT,5300.8,742.112
Danaher,338,2004,"Scientific, Photographic and Control Equipment",DC,5293.9,741.146
Lincoln National Corporation,339,2004,"Insurance: Life, Health (Stock)",PA,5283.9,739.746
Murphy Oil Corporation,340,2004,Petroleum Refining,AR,5275.1,738.514
"R. J. Reynolds Tobacco Holdings, Inc.",341,2004,Tobacco,NC,5267,737.38
Amazon.Com Inc.,342,2004,Specialty Retailers,WA,5263.7,736.918
VF Corporation,343,2004,Apparel,NC,5207.5,729.05
SPX Corporation,344,2004,"Electronics, Electrical Equipment",NC,5129.8,718.172
Anadarko Petroleum Corp.,345,2004,"Mining, Crude-Oil Production",TX,5122,717.08
The Est_e Lauder Companies Inc.,346,2004,Household and Personal Products,NY,5117.6,716.464
CNF Inc.,347,2004,"Trucking, Truck Leasing",CA,5104.3,714.602
"L-3 Communications Holdings, Inc.",348,2004,Aerospace & Defense,NY,5061.6,708.624
"Mohawk Industries, Inc.",349,2004,Textiles,GA,5005.1,700.714
Owens Corning,350,2004,"Building Materials, Glass",OH,4996,699.44
Ball Corporation,351,2004,"Packaging, Containers",CO,4977,696.78
"Mattel, Inc.",352,2004,"Toys, Sporting Goods",CA,4960.1,694.414
Monsanto Company,353,2004,Chemicals,MO,4936,691.04
Energy East Corporation,354,2004,Utilities: Gas and Electric,NY,4918.8,688.632
"Harley-Davidson, Inc.",355,2004,Transportation Equipment,WI,4903.7,686.518
"The McGraw-Hill Companies, Inc.",356,2004,"Publishing, Printing",NY,4839,677.46
"Asbury Automotive Group, Inc.",357,2004,"Automotive Retailing, Services",CT,4835.1,676.914
"Charter Communications, Inc.",358,2004,Telecommunications,MO,4819,674.66
Avery Dennison Corporation,359,2004,Chemicals,CA,4806.7,672.938
"Ryder System, Inc.",360,2004,"Trucking, Truck Leasing",FL,4802.3,672.322
Maytag Corporation,361,2004,"Electronics, Electrical Equipment",IA,4791.9,670.866
R.R. Donnelley & Sons Company,362,2004,"Publishing, Printing",IL,4787.2,670.208
"Foot Locker, Inc.",363,2004,Specialty Retailers,NY,4779,669.06
"Lexmark International, Inc.",364,2004,Computer Peripherals,KY,4754.7,665.658
"Family Dollar Stores, Inc.",365,2004,General Merchandisers,NC,4750.2,665.028
Quest Diagnostics Incorporated,366,2004,Health Care,NJ,4738,663.32
"Jabil Circuit, Inc.",367,2004,Semiconductors and Other Electronic Components,FL,4729.5,662.13
Erie Insurance Group,368,2004,Insurance: Property and Casualty (Stock),PA,4716.6,660.324
"Ikon Office Solutions, Inc.",369,2004,Wholesalers: Electronics and Office Equipment,PA,4710.9,659.526
"Conseco, Inc.",370,2004,"Insurance: Life, Health (Stock)",IN,4709.7,659.358
"CIT Group, Inc.",371,2004,Diversified Financials,NJ,4677.1,654.794
Temple-Inland Inc.,372,2004,"Packaging, Containers",TX,4671,653.94
Caesars Entertainment,373,2004,"Hotels, Casinos, Resorts",NV,4669,653.66
Pacific LifeCorp,374,2004,"Insurance: Life, Health (Stock)",CA,4668.7,653.618
"W.W. Grainger, Inc.",375,2004,Wholesalers: Diversified,IL,4667,653.38
CDW Corporation,376,2004,Wholesalers: Electronics and Office Equipment,IL,4664.6,653.044
"Darden Restaurants, Inc.",377,2004,Food Services,FL,4655,651.7
RadioShack Corporation,378,2004,Specialty Retailers,TX,4649.3,650.902
Jacobs Engineering Group Inc.,379,2004,Engineering & Construction,CA,4615.6,646.184
"Dole Food Company, Inc.",380,2004,Food Consumer Products,CA,4607.8,645.092
The Black & Decker Corporation,381,2004,Industrial and Farm Equipment,MD,4602,644.28
Ameren Corporation,382,2004,Utilities: Gas and Electric,MO,4593,643.02
Dover Corporation,384,2004,Industrial and Farm Equipment,NY,4559.4,638.316
Mellon Financial Corp.,385,2004,Commercial Banks,PA,4550,637
Coventry Health Care Inc.,386,2004,Health Care,MD,4535.1,634.914
"Emcor Group, Inc.",387,2004,Engineering & Construction,CT,4534.6,634.844
"Becton, Dickinson and Company",388,2004,Medical Products and Equipment,NJ,4527.9,633.906
Longs Drug Stores Corporation,389,2004,Food & Drug Stores,CA,4526.5,633.71
Group 1 Automotive Inc.,390,2004,"Automotive Retailing, Services",TX,4518.6,632.604
"Laidlaw International, Inc.",391,2004,Transportation and Logistics,IL,4482.8,627.592
"Applied Materials, Inc.",392,2004,Semiconductors and Other Electronic Components,CA,4477.3,626.822
CInergy Corp.,393,2004,Utilities: Gas and Electric,OH,4415.9,618.226
Goodrich Corporation,394,2004,Aerospace & Defense,NC,4407.2,617.008
WPS Resources Corporation,395,2004,Energy,WI,4402.5,616.35
Mutual of Omaha Insurance Companies,396,2004,"Insurance: Life, Health (Mutual)",NE,4393.4,615.076
"Leggett & Platt, Incorporated",397,2004,Furniture,MO,4388.2,614.348
Pitney Bowes Inc.,398,2004,Wholesalers: Food and Grocery,WI,4383.3,613.662
"Jones Apparel Group, Inc.",399,2004,Apparel,PA,4375.3,612.542
"Harrah's Entertainment, Inc.",400,2004,"Hotels, Casinos, Resorts",NV,4363.9,610.946
Avaya Inc.,401,2004,Network and Other Communications Equipment,NJ,4338,607.32
The Charles Schwab Corporation,402,2004,Securities,CA,4328,605.92
bo,403,2004,Temporary Help,MI,4325.2,605.528
Burlington Resources Inc.,404,2004,"Mining, Crude-Oil Production",TX,4311,603.54
"OM Group, Inc.",405,2004,Chemicals,OH,4296.7,601.538
"Owens & Minor, Inc.",406,2004,Wholesalers: Health Care,VA,4244.1,594.174
"Liz Claiborne, Inc.",407,2004,Apparel,NY,4241.1,593.754
Auto-Owners Insurance Group,408,2004,Insurance: Property and Casualty (Mutual),MI,4211.3,589.582
Cablevision Systems,409,2004,Telecommunications,NY,4208,589.12
AK Steel Holding Corporation,410,2004,Metals,OH,4205.9,588.826
Hormel Foods Corporation,411,2004,Food Consumer Products,MN,4200.3,588.042
Kerr-McGee,412,2004,"Mining, Crude-Oil Production",OK,4190.9,586.726
Apache Corporation,413,2004,"Mining, Crude-Oil Production",TX,4190.3,586.642
"Big Lots, Inc.",414,2004,Specialty Retailers,OH,4174.4,584.416
The Clorox Company,416,2004,Household and Personal Products,CA,4171,583.94
SLM Corporation,417,2004,Diversified Financials,VA,4160.2,582.428
Phelps Dodge Corporation,418,2004,Metals,AZ,4142.7,579.978
MGM Mirage,419,2004,"Hotels, Casinos, Resorts",NV,4139.8,579.572
Brunswick Corporation,420,2004,Transportation Equipment,IL,4128.7,578.018
Rockwell Automation Inc.,421,2004,"Electronics, Electrical Equipment",WI,4104,574.56
Levi Strauss & Co.,422,2004,Apparel,CA,4090.7,572.698
Maxtor Corporation,423,2004,Computer Peripherals,CA,4086.4,572.096
York International Corporation,424,2004,Industrial and Farm Equipment,PA,4076.1,570.654
Starbucks Corporation,425,2004,Food Services,WA,4075.5,570.57
"International Steel Group, Inc.",426,2004,Metals,OH,4070,569.8
Wisconsin Energy Corporation,427,2004,Utilities: Gas and Electric,WI,4054.3,567.602
Hershey Foods Corporation,428,2004,"Mail, Package, and Freight Delivery",VA,4050.5,567.07
"Level 3 Communications, Inc.",429,2004,Telecommunications,CO,4026,563.64
Adolph Coors Company,430,2004,Beverages,CO,4000.1,560.014
Collins & Aikman Corporation,431,2004,Motor Vehicles & Parts,MI,3983.7,557.718
"Pathmark Stores, Inc.",432,2004,Food & Drug Stores,NJ,3980.9,557.326
Nash Finch Company,433,2004,Wholesalers: Food and Grocery,MN,3971.5,556.01
Qualcomm Incorporated,434,2004,Network and Other Communications Equipment,CA,3970.6,555.884
"CarMax, Inc.",435,2004,"Automotive Retailing, Services",VA,3969.9,555.786
"Triad Hospitals, Inc.",436,2004,Health Care,TX,3966.1,555.254
Terex Corporation,437,2004,Industrial and Farm Equipment,CT,3897.1,545.594
Hilton Hotels,438,2004,"Hotels, Casinos, Resorts",CA,3853,539.42
United Stationers Inc.,439,2004,Wholesalers: Electronics and Office Equipment,IL,3847.7,538.678
Golden West Financial Corporation,440,2004,Savings Institutions,CA,3841.7,537.838
"Starwood Hotels & Resorts Worldwide, Inc.",441,2004,"Hotels, Casinos, Resorts",NY,3801,532.14
Lyondell Chemical,441,2004,Chemicals,TX,3801,532.14
Western & Southern Mutual Holding Company,443,2004,"Insurance: Life, Health (Mutual)",OH,3795.3,531.342
The Timken Company,444,2004,Industrial and Farm Equipment,OH,3788.1,530.334
"Affiliated Computer Services, Inc.",445,2004,Computer And Data Services,TX,3787.2,530.208
OGE Energy Corp,446,2004,Utilities: Gas and Electric,OK,3786.8,530.152
"Ross Stores, Inc.",447,2004,Specialty Retailers,CA,3786.4,530.096
"Graybar Electric Company, Inc.",448,2004,Wholesalers: Electronics and Office Equipment,MO,3782.9,529.606
"H&R Block, Inc.",449,2004,zMiscellaneous,MO,3779.8,529.172
Tenneco Automotive Inc.,450,2004,Motor Vehicles & Parts,IL,3766,527.24
Ecolab Inc.,451,2004,Chemicals,MN,3761.8,526.652
"Borders Group, Inc.",452,2004,Specialty Retailers,MI,3731,522.34
Guidant Corporation,453,2004,Medical Products and Equipment,IN,3717,520.38
Engelhard Corporation,454,2004,Chemicals,NJ,3714.5,520.03
Host Marriott Corporation,455,2004,Real Estate,MD,3712,519.68
"NVR, Inc.",456,2004,Homebuilders,VA,3687.2,516.208
"American Axle & Manufacturing Holdings, Inc.",457,2004,Motor Vehicles & Parts,MI,3682.7,515.578
USG Corporation,458,2004,"Building Materials, Glass",IL,3666,513.24
"Bed Bath & Beyond, Inc.",459,2004,Specialty Retailers,NJ,3665.2,513.128
Jefferson-Pilot Corporation,460,2004,"Insurance: Life, Health (Stock)",NC,3650.3,511.042
NTL,461,2004,Telecommunications,NY,3645.2,510.328
"Universal Health Services, Inc.",462,2004,Health Care,PA,3643.6,510.104
ServiceMaster,463,2004,Diversified Outsourcing Services,IL,3633.6,508.704
W.R. Berkey,464,2004,Insurance: Property and Casualty (Stock),CT,3630.1,508.214
Stryker Corporation,465,2004,Medical Products and Equipment,MI,3625.3,507.542
Regions Financial Corporation,466,2004,Commercial Banks,AL,3617.9,506.506
"C. H. Robinson Worldwide, Inc.",467,2004,Transportation and Logistics,MN,3613.6,505.904
"Smith International, Inc.",468,2004,"Oil and Gas Equipment, Services",TX,3594.8,503.272
Fisher Scientific International Inc.,469,2004,Wholesalers: Diversified,NH,3564.4,499.016
"Advance Auto Parts, Inc.",470,2004,Specialty Retailers,VA,3546.2,496.468
Sealed Air Corporation,471,2004,"Packaging, Containers",NJ,3531.9,494.466
Interstate Bakeries Corporation,472,2004,Food Consumer Products,MO,3525.8,493.612
"Advanced Micro Devices, Inc.",473,2004,Semiconductors and Other Electronic Components,CA,3519.2,492.688
Cooper Tire & Rubber Company,474,2004,Motor Vehicles & Parts,OH,3514.4,492.016
"Omnicare, Inc.",475,2004,Health Care,KY,3499.2,489.888
AGCO Corporation,476,2004,Industrial and Farm Equipment,GA,3495.3,489.342
Reebok International Ltd.,477,2004,Apparel,MA,3485.3,487.942
Boston Scientific Corporation,478,2004,Medical Products and Equipment,MA,3476,486.64
"Kindred Healthcare, Inc.",479,2004,Health Care,KY,3455.7,483.798
"Telephone and Data Systems, Inc.",480,2004,Telecommunications,IL,3445.2,482.328
"The Ryland Group, Inc.",481,2004,Homebuilders,CA,3444.1,482.174
SCANA Corporation,482,2004,Utilities: Gas and Electric,SC,3416,478.24
"LandAmerica Financial Group, Inc.",483,2004,Insurance: Property and Casualty (Stock),VA,3406,476.84
"Gateway, Inc.",484,2004,"Computers, Office Equipment",CA,3402.4,476.336
"Peter Kiewit Sons', Inc.",485,2004,Engineering & Construction,NE,3375,472.5
"American Financial Group, Inc.",486,2004,Insurance: Property and Casualty (Stock),OH,3365.7,471.198
Henry Schein Inc.,487,2004,Wholesalers: Health Care,NY,3353.8,469.532
"The Shaw Group, Inc.",488,2004,Engineering & Construction,LA,3306.8,462.952
Comerica Incorporated,489,2004,Commercial Banks,MI,3299,461.86
"Wesco International, Inc.",490,2004,Wholesalers: Diversified,PA,3286.8,460.152
Old Republic International Corporation,491,2004,Insurance: Property and Casualty (Stock),IL,3285.8,460.012
"Brinker International, Inc.",492,2004,Food Services,TX,3285.4,459.956
Equity Office Properties Trust,493,2004,Real Estate,IL,3279.5,459.13
Allmerica Financial Corporation,494,2004,Insurance: Property and Casualty (Stock),MA,3263.6,456.904
"Armstrong Holdings, Inc.",495,2004,"Building Materials, Glass",PA,3259,456.26
"Spartan Stores, Inc.",496,2004,Wholesalers: Food and Grocery,MI,3256,455.84
"Hughes Supply, Inc.",497,2004,Wholesalers: Diversified,FL,3253.4,455.476
"PepsiAmericas, Inc.",498,2004,Beverages,MN,3236.8,453.152
The New York Times Company,499,2004,"Publishing, Printing",NY,3227.2,451.808
Newmont Mining Corporation,500,2004,"Mining, Crude-Oil Production",CO,3214.1,449.974
"Wal-Mart Stores, Inc.",1,2005,General Merchandisers,AR,288189,40346.46
Exxon Mobil Corporation,2,2005,Petroleum Refining,TX,270772,37908.08
General Motors Corporation,3,2005,Motor Vehicles & Parts,MI,193517,27092.38
Ford Motor Company,4,2005,Motor Vehicles & Parts,MI,172233,24112.62
General Electric Company,5,2005,Diversified Financials,CT,152363,21330.82
ChevronTexaco Corporation,6,2005,Petroleum Refining,CA,147967,20715.38
ConocoPhillips,7,2005,Petroleum Refining,TX,121663,17032.82
"Citigroup, Inc.",8,2005,Commercial Banks,NY,108276,15158.64
"American International Group,Inc.",9,2005,Insurance: Property and Casualty (Stock),NY,98610,13805.4
International Business Machines Corporation,10,2005,"Computers, Office Equipment",NY,96293,13481.02
Hewlett-Packard Company,11,2005,"Computers, Office Equipment",CA,79905,11186.7
Berkshire Hathaway Inc.,12,2005,Insurance: Property and Casualty (Stock),NE,74382,10413.48
"The Home Depot, Inc.",13,2005,Specialty Retailers,GA,73094,10233.16
Verizon Communications Inc.,14,2005,Telecommunications,NY,71563.3,10018.862
McKesson Corporation,15,2005,Wholesalers: Health Care,CA,69506.1,9730.854
"Cardinal Health, Inc.",16,2005,Wholesalers: Health Care,OH,65130.6,9118.284
"Altria Group, Inc.",17,2005,Tobacco,NY,64440,9021.6
Bank of America Corporation,18,2005,Commercial Banks,NC,63324,8865.36
State Farm Insurance Cos.,19,2005,Insurance: Property and Casualty (Mutual),IL,58818.9,8234.646
J.P. Morgan Chase & Co.,20,2005,Commercial Banks,NY,56931,7970.34
The Kroger Company,21,2005,Food & Drug Stores,OH,56434.4,7900.816
Valero Energy Corporation,22,2005,Petroleum Refining,TX,53918.6,7548.604
AmerisourceBergen Corp.,23,2005,Wholesalers: Health Care,PA,53179,7445.06
Pfizer Inc.,24,2005,Pharmaceuticals,NY,52921,7408.94
Boeing,25,2005,Aerospace & Defense,IL,52553,7357.42
The Procter & Gamble Company,26,2005,Household and Personal Products,OH,51407,7196.98
Target Corporation,27,2005,General Merchandisers,MN,49934,6990.76
Dell Inc.,28,2005,"Computers, Office Equipment",TX,49205,6888.7
Costco Wholesale Corporation,29,2005,Specialty Retailers,WA,48107,6734.98
Johnson & Johnson,30,2005,Pharmaceuticals,NJ,47348,6628.72
Marathon Oil Corporation,31,2005,Petroleum Refining,TX,45444,6362.16
Time Warner Inc.,32,2005,Entertainment,NY,42869,6001.66
SBC Communications Inc.,33,2005,Telecommunications,TX,41098,5753.72
The Dow Chemical Company,34,2005,Chemicals,MI,40161,5622.54
Albertson's,35,2005,Food & Drug Stores,ID,40052,5607.28
Morgan Stanley,36,2005,Securities,NY,39549,5536.86
"MetLife, Inc.",37,2005,"Insurance: Life, Health (Stock)",NY,39535,5534.9
Walgreen Co.,38,2005,Food & Drug Stores,IL,37508.2,5251.148
United Technologies Corporation,39,2005,Aerospace & Defense,CT,37445,5242.3
"UnitedHealth Group, Incorporated",40,2005,Health Care: Insurance and Managed Care,MN,37218,5210.52
Microsoft Corporation,41,2005,Computer Software,WA,36835,5156.9
"United Parcel Service, Inc.",42,2005,"Mail, Package, and Freight Delivery",GA,36582,5121.48
Archer-Daniels-Midland Company,44,2005,Food Production,IL,36151.4,5061.196
"Sears, Roebuck and Company",45,2005,General Merchandisers,IL,36099,5053.86
Safeway Inc.,46,2005,Food & Drug Stores,CA,35822.9,5015.206
Lockheed Martin Corporation,47,2005,Aerospace & Defense,MD,35526,4973.64
"Medco Health Solutions, Inc.",48,2005,Health Care: Pharmacy and Other Services,NJ,35351.9,4949.266
"Motorola, Inc.",49,2005,Network and Other Communications Equipment,IL,35349,4948.86
Intel Corporation,50,2005,Semiconductors and Other Electronic Components,CA,34209,4789.26
The Allstate Corporation,51,2005,Insurance: Property and Casualty (Stock),IL,33936,4751.04
Wells Fargo & Company,52,2005,Commercial Banks,CA,33876,4742.64
"Merrill Lynch & Co., Inc.",53,2005,Securities,NY,32467,4545.38
The Walt Disney Company,54,2005,Entertainment,CA,30752,4305.28
CVS Corporation,55,2005,Food & Drug Stores,RI,30594.3,4283.202
AT&T Corp.,56,2005,Telecommunications,NJ,30537,4275.18
"Caterpillar, Inc.",57,2005,Industrial and Farm Equipment,IL,30251,4235.14
Northrop Grumman Corporation,58,2005,Aerospace & Defense,CA,29868,4181.52
"The Goldman Sachs Group, Inc.",59,2005,Securities,NY,29839,4177.46
Sysco Corporation,60,2005,Wholesalers: Food and Grocery,TX,29335.4,4106.956
"PepsiCo, Inc.",61,2005,Food Consumer Products,NY,29261,4096.54
American Express Company,62,2005,Diversified Financials,NY,29115,4076.1
Delphi Corporation,63,2005,Motor Vehicles & Parts,MI,28700,4018
"Prudential Financial, Inc.",64,2005,"Insurance: Life, Health (Stock)",NJ,28348,3968.72
Wachovia Corporation,65,2005,Commercial Banks,NC,28067,3929.38
E.I. du Pont de Nemours,66,2005,Chemicals,DE,27995,3919.3
Sprint Corporation,67,2005,Telecommunications,KS,27428,3839.92
New York Life Insurance Company,68,2005,"Insurance: Life, Health (Mutual)",NY,27175.5,3804.57
Viacom Inc.,69,2005,Entertainment,NY,27054.8,3787.672
International Paper Company,70,2005,Forest and Paper Products,CT,26722,3741.08
"Johnson Controls, Inc.",71,2005,Motor Vehicles & Parts,WI,26553.4,3717.476
"Tyson Foods, Inc.",72,2005,Food Production,AR,26441,3701.74
"Caremark Rx, Inc.",73,2005,Health Care: Pharmacy and Other Services,TN,25801.1,3612.154
"J.C. Penney Company, Inc.",74,2005,General Merchandisers,TX,25678,3594.92
Honeywell International Inc.,75,2005,Aerospace & Defense,NJ,25601,3584.14
"Ingram Micro, Inc.",76,2005,Wholesalers: Electronics and Office Equipment,CA,25462.1,3564.694
Best Buy Co. Inc.,77,2005,Specialty Retailers,MN,24901,3486.14
FedEx Corporation,78,2005,"Mail, Package, and Freight Delivery",TN,24710,3459.4
"Alcoa, Inc.",79,2005,Metals,PA,23960,3354.4
HCA Inc,80,2005,Health Care: Medical Facilities,TN,23502,3290.28
Teachers Insurance and Annuity Association College Retiremen,81,2005,"Insurance: Life, Health (Mutual)",NY,23411.3,3277.582
"Sunoco, Inc.",82,2005,Petroleum Refining,PA,23226,3251.64
Massachusetts Mutual Life Insurance Company,83,2005,"Insurance: Life, Health (Mutual)",MA,23159.2,3242.288
"Merck & Co., Inc.",84,2005,Pharmaceuticals,NJ,22938.6,3211.404
"The St. Paul Travelers Companies, Inc.",85,2005,Insurance: Property and Casualty (Stock),MN,22934,3210.76
Duke Energy,86,2005,Energy,NC,22779,3189.06
BellSouth Corporation,87,2005,Telecommunications,GA,22729,3182.06
The Hartford Financial Services Group Inc.,88,2005,Insurance: Property and Casualty (Stock),CT,22693,3177.02
Weyerhaeuser Company,89,2005,Forest and Paper Products,WA,22665,3173.1
"MCI, Inc.",90,2005,Telecommunications,VA,22615,3166.1
"Cisco Systems, Inc.",91,2005,Network and Other Communications Equipment,CA,22045,3086.3
The Coca-Cola Company,92,2005,Beverages,GA,21962,3074.68
Bristol-Myers Squibb Company,93,2005,Pharmaceuticals,NY,21886,3064.04
"Lehman Brothers Holdings, Inc.",94,2005,Securities,NY,21250,2975
Electronic Data Systems,95,2005,Computer And Data Services,TX,21033,2944.62
"Plains All American Pipeline, L.P.",96,2005,Pipelines,TX,20975.5,2936.57
"WellPoint, Inc.",97,2005,Health Care: Insurance and Managed Care,IN,20815.1,2914.114
News Corporation,98,2005,Entertainment,NY,20802,2912.28
Nationwide Mutual Insurance Co.,99,2005,Insurance: Property and Casualty (Stock),OH,20558,2878.12
Abbott Laboratories,100,2005,Pharmaceuticals,IL,20473.1,2866.234
Halliburton Company,101,2005,"Oil and Gas Equipment, Services",TX,20466,2865.24
Comcast Corporation,102,2005,Telecommunications,PA,20307,2842.98
Raytheon Company,103,2005,Aerospace & Defense,MA,20245,2834.3
Supervalu Inc.,104,2005,Wholesalers: Food and Grocery,MN,20209.7,2829.358
3M,105,2005,zMiscellaneous,MN,20011,2801.54
Deere & Company,106,2005,Industrial and Farm Equipment,IL,19986.1,2798.054
Cendant Corporation,107,2005,zMiscellaneous,NY,19979,2797.06
Aetna Inc.,108,2005,Health Care: Insurance and Managed Care,CT,19904.1,2786.574
Georgia-Pacific Corporation,109,2005,Forest and Paper Products,GA,19876,2782.64
Tech Data Corporation,110,2005,Wholesalers: Electronics and Office Equipment,FL,19790.3,2770.642
Liberty Mutual Insurance Group,111,2005,Insurance: Property and Casualty (Stock),MA,19754,2765.56
"Autonation, Inc.",112,2005,"Automotive Retailing, Services",FL,19734.1,2762.774
Kmart Holding Corporation,113,2005,General Merchandisers,MI,19701,2758.14
Sara Lee Corporation,114,2005,Food Consumer Products,IL,19566,2739.24
General Dynamics Corporation,115,2005,Aerospace & Defense,VA,19552,2737.28
McDonald's Corporation,116,2005,Food Services,IL,19064.7,2669.058
"Publix Super Markets, Inc.",117,2005,Food & Drug Stores,FL,18686.4,2616.096
Visteon Corporation,118,2005,Motor Vehicles & Parts,MI,18657,2611.98
AMR Corporation,119,2005,Airlines,TX,18645,2610.3
Goodyear Tire & Rubber Company,120,2005,Motor Vehicles & Parts,OH,18370.4,2571.856
"ConAgra Foods, Incorporated",121,2005,Food Consumer Products,NE,18178.7,2545.018
CIGNA Corporation,122,2005,Health Care: Insurance and Managed Care,PA,18176,2544.64
"Coca-Cola Enterprises, Inc.",123,2005,Beverages,GA,18158,2542.12
Northwestern Mutual Life Insurance Company,124,2005,"Insurance: Life, Health (Mutual)",WI,17806.3,2492.882
Wyeth,125,2005,Pharmaceuticals,NJ,17358,2430.12
Amerada Hess Corporation,126,2005,Petroleum Refining,NY,17126,2397.64
Lear Corporation,127,2005,Motor Vehicles & Parts,MI,16960,2374.4
Rite Aid Corporation,128,2005,Food & Drug Stores,PA,16600.4,2324.056
UAL Corporation,129,2005,Airlines,IL,16391,2294.74
"The Gap, Inc.",130,2005,Specialty Retailers,CA,16267,2277.38
"Washington Mutual, Inc.",131,2005,Savings Institutions,WA,15962,2234.68
Xerox Corporation,132,2005,"Computers, Office Equipment",CT,15722,2201.08
"Federated Department Stores, Inc.",133,2005,General Merchandisers,OH,15630,2188.2
Emerson Electric Co.,134,2005,"Electronics, Electrical Equipment",MO,15615,2186.1
Kimberly-Clark Corporation,135,2005,Household and Personal Products,TX,15400.9,2156.126
Premcor Inc.,136,2005,Petroleum Refining,CT,15334.8,2146.872
"Express Scripts, Inc.",137,2005,Health Care: Pharmacy and Other Services,MO,15114.7,2116.058
"Delta Air Lines, Inc.",138,2005,Airlines,GA,15002,2100.28
"Anheuser-Busch Companies, Inc.",139,2005,Beverages,MO,14934.2,2090.788
Manpower Inc.,140,2005,Temporary Help,WI,14930,2090.2
"The TJX Companies, Inc.",141,2005,Specialty Retailers,MA,14913.5,2087.89
Computer Sciences Corporation,142,2005,Computer And Data Services,CA,14767.6,2067.464
U.S. Bancorp,143,2005,Commercial Banks,MN,14705.7,2058.798
Loews Corporation,144,2005,Insurance: Property and Casualty (Stock),NY,14584.2,2041.788
Exelon Corporation,145,2005,Utilities: Gas and Electric,IL,14515,2032.1
"Staples, Inc.",146,2005,Specialty Retailers,MA,14448.4,2022.776
The May Department Stores Company,147,2005,General Merchandisers,MO,14441,2021.74
American electric Power Company,148,2005,Energy,OH,14357,2009.98
United States Steel Corporation,149,2005,Metals,PA,14108,1975.12
Countrywide Financial Corporation,150,2005,Diversified Financials,CA,14050.7,1967.098
"Dominion Resources, Inc.",151,2005,Utilities: Gas and Electric,VA,13980,1957.2
Eli Lilly and Company,152,2005,Pharmaceuticals,IN,13857.9,1940.106
Eastman Kodak Company,153,2005,"Scientific, Photographic and Control Equipment",NY,13829,1936.06
Qwest Communications International Inc.,154,2005,Telecommunications,CO,13809,1933.26
The Progressive Corporation,155,2005,Insurance: Property and Casualty (Stock),OH,13782.1,1929.494
"Office Depot, Inc.",156,2005,Specialty Retailers,FL,13564.7,1899.058
"Nextel Communications, Inc.",157,2005,Telecommunications,VA,13368,1871.52
AFLAC Incorporated,158,2005,"Insurance: Life, Health (Stock)",GA,13281,1859.34
OfficeMax Incorporated,159,2005,Specialty Retailers,IL,13270.2,1857.828
